rank,package,version,trustScore,confidence
1,@wdio/repl,9.16.2,92,95
2,@nrwl/js,19.8.4,91.25,95
3,react-bootstrap,2.10.10,89.75,95
4,jest-get-type,29.6.3,89.25,95
5,diff-sequences,29.6.3,89,95
6,tslib,2.8.1,88.5,95
7,@storybook/channel-websocket,7.6.17,88.25,95
8,@nrwl/tao,19.8.4,88,95
9,@nrwl/cli,15.9.3,88,95
10,@nrwl/jest,19.8.4,88,95
11,@nrwl/storybook,19.8.4,88,95
12,@nrwl/react,19.8.4,88,95
13,react-select,5.10.2,87.75,95
14,graphql,17.0.2,87.63,95
15,react-native-gradle-plugin,0.71.19,87.5,95
16,bcrypt,6.0.0,87.5,95
17,@babel/plugin-proposal-json-strings,7.18.6,87.25,95
18,confusing-browser-globals,1.0.11,87.25,95
19,react-app-polyfill,3.0.0,87.25,95
20,@hapi/hoek,11.0.7,87.25,95
21,mobx,7.0.0,87,95
22,@chakra-ui/icon,3.2.0,87,95
23,create-react-app,5.1.0,87,95
24,@chakra-ui/hooks,2.4.2,87,95
25,@chakra-ui/close-button,2.1.1,87,95
26,@azure/core-asynciterator-polyfill,1.0.2,87,95
27,workbox-core,7.4.1,86.95,95
28,@babel/plugin-syntax-numeric-separator,7.10.4,86.92,95
29,@graphql-codegen/typescript-react-apollo,4.4.2,86.91,95
30,@babel/plugin-transform-dotall-regex,8.0.1,86.85,95
31,@babel/plugin-transform-typeof-symbol,8.0.1,86.85,95
32,@babel/plugin-transform-react-constant-elements,8.0.1,86.85,95
33,@babel/plugin-transform-react-inline-elements,8.0.1,86.85,95
34,eslint-import-resolver-typescript,4.4.5,86.82,95
35,@mdx-js/util,2.0.0,86.75,95
36,babel-plugin-apply-mdx-type-prop,2.0.0,86.75,95
37,babel-plugin-extract-import-names,2.0.0,86.75,95
38,@babel/plugin-syntax-typescript,8.0.3,86.71,95
39,@uppy/react,5.2.0,86.68,95
40,redis,6.1.0,86.66,95
41,jest,30.4.2,86.64,95
42,apollo-client,2.6.10,86.64,95
43,@formatjs/ecma402-abstract,3.2.0,86.59,95
44,react-chartjs-2,5.3.1,86.54,95
45,@babel/helper-define-map,7.18.6,86.5,95
46,micromatch,4.0.8,86.5,95
47,postcss-modules-scope,3.2.1,86.5,95
48,@octokit/auth-token,6.0.0,86.5,95
49,@formatjs/intl-localematcher,0.8.13,86.45,95
50,@graphql-tools/merge,9.2.2,86.43,95
51,@graphql-tools/load,8.1.15,86.43,95
52,@react-navigation/routers,7.6.4,86.39,95
53,@mdx-js/react,3.1.1,86.34,95
54,@mdx-js/loader,3.1.1,86.34,95
55,cssdb,8.9.0,86.33,95
56,@react-three/fiber,9.6.1,86.28,95
57,@playwright/test,1.62.1,86.26,95
58,@babel/plugin-proposal-optional-chaining,7.21.0,86.25,95
59,eslint-config-react-app,7.0.1,86.25,95
60,@formatjs/intl,4.1.18,86.25,95
61,react-intl,10.1.19,86.25,95
62,expo-status-bar,57.0.1,86.21,95
63,@opentelemetry/context-async-hooks,2.10.0,86.13,95
64,@opentelemetry/propagator-b3,2.10.0,86.13,95
65,ag-grid-community,36.0.2,86.12,95
66,@babel/code-frame,8.0.0,86.11,95
67,@babel/template,8.0.0,86.11,95
68,@babel/helper-wrap-function,8.0.0,86.11,95
69,@babel/helper-builder-react-jsx,8.0.1,86.1,95
70,@apollo/client,4.2.9,86.01,95
71,node-fetch,3.3.2,86,95
72,webpack-hot-middleware,2.26.1,86,95
73,postcss-import,16.1.1,86,95
74,@chakra-ui/form-control,2.2.0,86,95
75,@chakra-ui/provider,2.4.2,86,95
76,@chakra-ui/alert,2.2.2,86,95
77,@chakra-ui/stat,2.1.1,86,95
78,devtools,8.42.0,86,95
79,@opentelemetry/api-metrics,0.33.0,86,95
80,@azure/core-http,3.0.5,86,95
81,vscode-languageserver-textdocument,1.0.12,86,95
82,workbox-strategies,7.4.1,85.95,95
83,workbox-routing,7.4.1,85.95,95
84,workbox-expiration,7.4.1,85.95,95
85,workbox-broadcast-update,7.4.1,85.95,95
86,workbox-range-requests,7.4.1,85.95,95
87,workbox-streams,7.4.1,85.95,95
88,workbox-cacheable-response,7.4.1,85.95,95
89,zustand,5.0.14,85.87,95
90,@babel/plugin-transform-react-jsx,8.0.1,85.85,95
91,@babel/preset-typescript,8.0.1,85.85,95
92,@babel/node,8.0.1,85.85,95
93,@docusaurus/utils-common,3.10.2,85.78,95
94,react-markdown,10.1.0,85.75,95
95,react-textarea-autosize,8.5.9,85.75,95
96,expo-error-recovery,4.0.1,85.75,95
97,@graphql-codegen/core,6.2.0,85.59,95
98,fill-range,7.1.1,85.5,95
99,postcss-modules-local-by-default,4.2.0,85.5,95
100,pidusage,4.0.1,85.5,95
101,postcss-convert-values,8.0.1,85.43,95
102,react-devtools-core,7.0.1,85.38,95
103,react-devtools,7.0.1,85.38,95
104,typescript,7.0.2,85.31,95
105,cra-template-typescript,1.3.0,85.25,95
106,@typescript-eslint/eslint-plugin-tslint,7.0.2,85.25,95
107,@azure/logger,1.4.0,85.24,95
108,@azure/abort-controller,2.2.0,85.24,95
109,@opentelemetry/core,2.10.0,85.13,95
110,@opentelemetry/propagator-jaeger,2.10.0,85.13,95
111,@opentelemetry/sdk-trace-node,2.10.0,85.13,95
112,@babel/preset-react,8.0.1,85.1,95
113,inversify,8.2.3,85.1,95
114,@graphql-codegen/typescript,6.1.0,85.09,95
115,@graphql-codegen/schema-ast,6.1.0,85.09,95
116,@babel/plugin-syntax-json-strings,7.8.3,85.04,95
117,@azure/msal-node,5.4.3,85.03,95
118,readable-stream,4.7.0,85,95
119,react-transition-group,4.4.5,85,95
120,@chakra-ui/react-utils,2.0.11,85,95
121,@chakra-ui/color-mode,2.2.0,85,95
122,@chakra-ui/checkbox,2.3.2,85,95
123,@chakra-ui/tooltip,2.3.1,85,95
124,@chakra-ui/modal,2.3.1,85,95
125,@chakra-ui/layout,2.3.1,85,95
126,@chakra-ui/radio,2.1.2,85,95
127,@chakra-ui/accordion,2.3.1,85,95
128,@chakra-ui/react-env,3.1.0,85,95
129,@chakra-ui/control-box,2.1.0,85,95
130,@chakra-ui/transition,2.1.0,85,95
131,@chakra-ui/tabs,3.0.0,85,95
132,@chakra-ui/clickable,2.1.0,85,95
133,@chakra-ui/live-region,2.1.0,85,95
134,@chakra-ui/focus-lock,2.1.0,85,95
135,@chakra-ui/counter,2.1.0,85,95
136,@loadable/component,5.16.7,85,95
137,@loadable/webpack-plugin,5.15.2,85,95
138,@slack/types,3.0.0,84.97,95
139,workbox-webpack-plugin,7.4.1,84.95,95
140,webpack-chain,6.5.1,84.94,95
141,jest-matcher-utils,30.4.1,84.9,95
142,@graphql-codegen/typescript-operations,6.1.2,84.85,95
143,@docusaurus/utils-validation,3.10.2,84.78,95
144,mobx-react,10.0.0,84.75,95
145,critters,0.0.25,84.75,95
146,detect-port,2.1.0,84.75,95
147,url-parse,1.5.10,84.75,95
148,n,10.2.0,84.75,95
149,react-overlays,5.2.1,84.75,95
150,@babel/plugin-transform-react-display-name,8.0.1,84.6,95
151,@babel/plugin-transform-react-jsx-development,8.0.1,84.6,95
152,@babel/plugin-transform-react-pure-annotations,8.0.1,84.6,95
153,babel-preset-react-app,10.1.0,84.5,95
154,@vercel/node-bridge,4.0.1,84.5,95
155,@vue/cli-plugin-typescript,5.0.9,84.46,95
156,@csstools/postcss-is-pseudo-class,6.0.0,84.46,95
157,cssnano,8.0.2,84.43,95
158,react,19.2.8,84.38,95
159,@react-navigation/native,7.3.14,84.34,95
160,@react-navigation/stack,7.10.17,84.34,95
161,@react-navigation/native-stack,7.18.6,84.34,95
162,react-scripts,5.0.1,84.25,95
163,@typescript-eslint/experimental-utils,5.62.0,84.25,95
164,superstruct,2.0.2,84.25,95
165,webpackbar,7.0.0,84.25,95
166,expo-application,57.0.2,84.19,95
167,@babel/helper-simple-access,7.29.7,84.16,95
168,@graphql-codegen/typescript-resolvers,6.1.0,84.09,95
169,@babel/plugin-transform-regenerator,8.0.2,84.08,95
170,sass,1.102.0,84.08,95
171,lit,3.3.3,84.07,95
172,@napi-rs/triples,2.1.16,84.01,95
173,react-error-overlay,6.1.0,84,95
174,prismjs,1.30.0,84,95
175,@emotion/css,11.13.5,84,95
176,@testing-library/user-event,14.6.1,84,95
177,@testing-library/react-hooks,8.0.1,84,95
178,@chakra-ui/descendant,3.1.0,84,95
179,@chakra-ui/image,2.1.0,84,95
180,@chakra-ui/pin-input,2.1.0,84,95
181,@chakra-ui/avatar,2.3.0,84,95
182,@chakra-ui/portal,2.1.0,84,95
183,@chakra-ui/breadcrumb,2.2.0,84,95
184,@chakra-ui/popper,3.1.0,84,95
185,@opentelemetry/sdk-metrics-base,0.31.0,84,95
186,tailwindcss,4.3.3,83.95,95
187,vega-typings,2.2.0,83.88,95
188,@babel/helper-annotate-as-pure,8.0.0,83.86,95
189,inquirer,14.0.2,83.83,95
190,clean-css,5.3.3,83.75,95
191,loader-utils,3.3.1,83.75,95
192,style-loader,4.0.0,83.75,95
193,polished,4.3.1,83.75,95
194,ethereumjs-util,7.1.5,83.75,95
195,w3c-xmlserializer,5.0.0,83.75,95
196,node-gyp-build,4.8.4,83.75,95
197,@babel/plugin-transform-typescript,8.0.1,83.6,95
198,mz,2.7.0,83.59,95
199,@radix-ui/react-primitive,2.1.10,83.58,95
200,@radix-ui/react-slot,1.3.3,83.58,95
201,@radix-ui/react-context,1.2.2,83.58,95
202,@radix-ui/react-id,1.1.4,83.58,95
203,turbo,2.10.7,83.57,95
204,@babel/types,8.0.4,83.55,95
205,lodash.uniqby,4.7.0,83.51,95
206,babel-plugin-react-docgen,4.2.1,83.51,95
207,gauge,5.0.2,83.5,95
208,postcss-modules-extract-imports,3.1.0,83.5,95
209,gtoken,8.0.0,83.5,95
210,thread-loader,4.0.4,83.5,95
211,@octokit/graphql,9.0.3,83.49,95
212,react-router-config,5.1.1,83.45,95
213,@jest/core,30.4.2,83.39,95
214,@babel/parser,8.0.4,83.3,95
215,@storybook/manager-webpack4,6.5.16,83.25,95
216,@aws-sdk/util-utf8-browser,3.259.0,83.25,95
217,@aws-sdk/signature-v4,3.374.0,83.25,95
218,@aws-sdk/node-config-provider,3.374.0,83.25,95
219,@aws-sdk/middleware-stack,3.374.0,83.25,95
220,@aws-sdk/abort-controller,3.374.0,83.25,95
221,@aws-sdk/is-array-buffer,3.374.0,83.25,95
222,@aws-sdk/hash-node,3.374.0,83.25,95
223,@aws-sdk/node-http-handler,3.374.0,83.25,95
224,@aws-sdk/util-base64-browser,3.209.0,83.25,95
225,@aws-sdk/fetch-http-handler,3.374.0,83.25,95
226,@aws-sdk/util-utf8-node,3.259.0,83.25,95
227,web3-eth-personal,4.1.0,83.25,95
228,@aws-sdk/util-body-length-browser,3.374.0,83.25,95
229,@aws-sdk/util-base64-node,3.209.0,83.25,95
230,@aws-sdk/util-body-length-node,3.374.0,83.25,95
231,@aws-sdk/util-defaults-mode-node,3.374.0,83.25,95
232,@aws-sdk/eventstream-serde-node,3.374.0,83.25,95
233,react-element-to-jsx-string,17.0.1,83.25,95
234,@rails/webpacker,5.4.4,83.25,95
235,rc-util,5.44.4,83.25,95
236,@emotion/native,11.11.0,83.25,95
237,protobufjs,8.7.1,83.24,95
